"","varName","default","min","max"
"1","API","10","1","30"
"2","bh_max","20","5","40"
"3","eta","30","5","60"
"4","covEDAT0","25","10","50"
"5","covITN0","70","50","90"
"6","effITN","30","5","50"
"7","covIRS0","0","0","90"
"8","effIRS","15","5","25"
"9","muC","1","0.5","10"
"10","muA","1","0.5","20"
"11","muU","1","0.5","20"
"12","percfail2018","5","2","10"
"13","percfail2019","15","7","20"
"14","percfail2020","30","15","45"
"15","EDATscale","1","0.25","3"
"16","covEDATi","70","60","95"
"17","ITNscale","1","0.25","3"
"18","covITNi","90","70","90"
"19","IRSscale","1","0.25","3"
"20","covIRSi","90","70","90"
"21","lossd","30","15","30"
"22","dm","6","1","12"
"23","ka","2","1","8"
"24","delta","5","1","12"
"25","cmda_1","50","30","70"
"26","cmda_2","50","30","70"
"27","cmda_3","50","30","70"
"28","kf","45","15","60"
"29","ks","634","500","800"
"30","tm_1","9","9","9"
"31","tm_2","10","10","10"
"32","tm_3","11","11","11"
"33","effv_3","92","70","99"
"34","effv_4","92","70","99"
"35","MSATscale","1","0.25","3"
"36","covMSATi","90","70","95"
"37","MSATsensC","99","90","100"
"38","MSATsensA","87","70","95"
"39","MSATsensU","4","1","30"
