"","incidenceLowValue1","incidenceHiValue1","paste(valueTable[, 1], ""V_1"", sep = ""_"")"
"3",0,0,"eta_V_1"
"8",0,0,"effIRS_V_1"
"19",0,0,"IRSscale_V_1"
"20",0,0,"covIRSi_V_1"
"30",0,0,"tm_1_V_1"
"31",0,0,"tm_2_V_1"
"32",0,0,"tm_3_V_1"
"34",-3.25657843358584e-07,8.233230778254e-07,"effv_4_V_1"
"23",8.16483825993863e-07,-2.12250135364078e-05,"ka_V_1"
"21",-0.000518684850251638,0,"lossd_V_1"
"29",-0.00124418636772405,0.00121353703382665,"ks_V_1"
"33",-0.00192710978748756,0.000593623582547109,"effv_3_V_1"
"27",-0.00159543714232335,0.00148092515389253,"cmda_3_V_1"
"22",-0.00191189606310038,0.00171799102712122,"dm_V_1"
"17",0.000681332565422132,-0.00300611170069853,"ITNscale_V_1"
"9",-0.00892051774329028,-0.0128576502954896,"muC_V_1"
"26",-0.00207896931583162,0.00196365399304055,"cmda_2_V_1"
"25",-0.0022074912046125,0.00206943749073218,"cmda_1_V_1"
"13",0.00345672115257578,-0.00274555456380354,"percfail2019_V_1"
"28",-0.00485369512557277,0.00163490852622683,"kf_V_1"
"16",-0.00518344042240759,0.00340948597481261,"covEDATi_V_1"
"35",0.000389579990431321,-0.00984849083257044,"MSATscale_V_1"
"24",0.00748882878969703,-0.00325090156155494,"delta_V_1"
"39",-0.00194050975343196,0.0168386312425751,"MSATsensU_V_1"
"15",0.00266046161924216,-0.016578470849215,"EDATscale_V_1"
"37",-0.01818758658418,0.00202072530348596,"MSATsensC_V_1"
"1",-0.0135624732986144,0.0148541048293883,"API_V_1"
"12",-0.0117025116343703,0.0171285250340868,"percfail2018_V_1"
"38",-0.0323815160664251,0.0152673307243851,"MSATsensA_V_1"
"18",-0.0861527526556545,0,"covITNi_V_1"
"14",0.0371019173748151,-0.0629872203449447,"percfail2020_V_1"
"36",-0.0816711493907268,0.020500499226114,"covMSATi_V_1"
"4",-0.0238288930072513,-0.132355818822369,"covEDAT0_V_1"
"6",-0.0529373903166839,-0.188795583635306,"effITN_V_1"
"7",0,-0.168480325615934,"covIRS0_V_1"
"10",0.00502206258839955,-0.186331488699586,"muA_V_1"
"2",-0.325123727595815,-0.5963014695426,"bh_max_V_1"
"5",0.0875973116945082,-0.241212727904714,"covITN0_V_1"
"11",0.030069965927304,-0.531331443255569,"muU_V_1"
