"","prevalenceLowValue1","prevalenceHiValue1","paste(valueTable[, 1], ""V_1"", sep = ""_"")"
"3",0,0,"eta_V_1"
"8",0,0,"effIRS_V_1"
"19",0,0,"IRSscale_V_1"
"20",0,0,"covIRSi_V_1"
"30",0,0,"tm_1_V_1"
"31",0,0,"tm_2_V_1"
"32",0,0,"tm_3_V_1"
"34",-8.78392261149941e-08,1.77983727422948e-07,"effv_4_V_1"
"23",1.85431448851414e-06,-1.65351597305463e-05,"ka_V_1"
"21",-0.000141263776454292,0,"lossd_V_1"
"29",-0.000389479800741332,0.000377830685231895,"ks_V_1"
"33",-0.00062889676450828,0.000193576475727042,"effv_3_V_1"
"22",-0.000527992031221336,0.00049112574325072,"dm_V_1"
"27",-0.000540800958552912,0.000501422904417126,"cmda_3_V_1"
"17",0.000253205106337084,-0.00104783282430165,"ITNscale_V_1"
"26",-0.000690151264979955,0.000650864923188332,"cmda_2_V_1"
"25",-0.000742270096545705,0.000694892296092209,"cmda_1_V_1"
"28",-0.0015824929376087,0.00053039870097582,"kf_V_1"
"13",0.00117933627803624,-0.000938177477517343,"percfail2019_V_1"
"24",0.00241040587597241,-0.00104624526694941,"delta_V_1"
"35",0.000142140103743582,-0.00337074245190194,"MSATscale_V_1"
"37",-0.00577108935119197,0.000640666472086604,"MSATsensC_V_1"
"15",0.000960401678114953,-0.00571811795553723,"EDATscale_V_1"
"39",-0.000752819464462484,0.00652491643189201,"MSATsensU_V_1"
"9",-0.00440076366301267,0.00649448549770892,"muC_V_1"
"12",-0.00457310690142387,0.00672209610114016,"percfail2018_V_1"
"1",-0.00569374191838756,0.00626886823236195,"API_V_1"
"38",-0.0103819247403741,0.00488591658503545,"MSATsensA_V_1"
"18",-0.0215308615940473,0,"covITNi_V_1"
"16",-0.0112531777723559,0.0153002177310518,"covEDATi_V_1"
"36",-0.0261345169649105,0.00653434602004477,"covMSATi_V_1"
"14",0.0121217421284008,-0.0206013029219815,"percfail2020_V_1"
"10",0.000235660048838793,-0.034936130271337,"muA_V_1"
"2",-0.142230153212477,-0.104485817688056,"bh_max_V_1"
"7",0,-0.0707749097912808,"covIRS0_V_1"
"6",0.00183330498949597,-0.100410541507666,"effITN_V_1"
"5",0.0337890881111272,-0.0817701312106763,"covITN0_V_1"
"11",0.0115662931268437,-0.180334357560286,"muU_V_1"
"4",0.0327628933484239,-0.171266435686678,"covEDAT0_V_1"
