"","prevalenceLowValue","prevalenceHiValue","c(paste(valueTable[, 1], ""V_0"", sep = ""_""), paste(valueTable[, "
"3",-0.00285474844696709,-0.00285474844696709,"eta_V_0"
"8",-0.00285474844696709,-0.00285474844696709,"effIRS_V_0"
"19",-0.00285474844696709,-0.00285474844696709,"IRSscale_V_0"
"20",-0.00285474844696709,-0.00285474844696709,"covIRSi_V_0"
"23",-0.00285474844696709,-0.00285474844696709,"ka_V_0"
"24",-0.00285474844696709,-0.00285474844696709,"delta_V_0"
"28",-0.00285474844696709,-0.00285474844696709,"kf_V_0"
"29",-0.00285474844696709,-0.00285474844696709,"ks_V_0"
"30",-0.00285474844696709,-0.00285474844696709,"tm_1_V_0"
"31",-0.00285474844696709,-0.00285474844696709,"tm_2_V_0"
"32",-0.00285474844696709,-0.00285474844696709,"tm_3_V_0"
"33",-0.00285474844696709,-0.00285474844696709,"effv_3_V_0"
"34",-0.00285474844696709,-0.00285474844696709,"effv_4_V_0"
"42",0,0,"eta_V_1"
"47",0,0,"effIRS_V_1"
"58",0,0,"IRSscale_V_1"
"59",0,0,"covIRSi_V_1"
"69",0,0,"tm_1_V_1"
"70",0,0,"tm_2_V_1"
"71",0,0,"tm_3_V_1"
"73",-8.78392261149941e-08,1.77983727422948e-07,"effv_4_V_1"
"62",1.85431448851414e-06,-1.65351597305463e-05,"ka_V_1"
"60",-0.000141263776454292,0,"lossd_V_1"
"22",-0.00260618594626327,-0.00300513368732125,"dm_V_0"
"21",-0.00332171083969079,-0.00285474844696709,"lossd_V_0"
"27",-0.00322317438778452,-0.00249196181455169,"cmda_3_V_0"
"26",-0.00323749414596886,-0.00248033666426006,"cmda_2_V_0"
"68",-0.000389479800741332,0.000377830685231895,"ks_V_1"
"72",-0.00062889676450828,0.000193576475727042,"effv_3_V_1"
"25",-0.00336394894003333,-0.00235772740183327,"cmda_1_V_0"
"61",-0.000527992031221336,0.00049112574325072,"dm_V_1"
"66",-0.000540800958552912,0.000501422904417126,"cmda_3_V_1"
"56",0.000253205106337084,-0.00104783282430165,"ITNscale_V_1"
"65",-0.000690151264979955,0.000650864923188332,"cmda_2_V_1"
"64",-0.000742270096545705,0.000694892296092209,"cmda_1_V_1"
"17",-0.00250227580566276,-0.00437836685611381,"ITNscale_V_0"
"67",-0.0015824929376087,0.00053039870097582,"kf_V_1"
"52",0.00117933627803624,-0.000938177477517343,"percfail2019_V_1"
"13",-0.00114992472150499,-0.00422883673129371,"percfail2019_V_0"
"63",0.00241040587597241,-0.00104624526694941,"delta_V_1"
"74",0.000142140103743582,-0.00337074245190194,"MSATscale_V_1"
"35",-0.00265606535701579,-0.00687313776810705,"MSATscale_V_0"
"76",-0.00577108935119197,0.000640666472086604,"MSATsensC_V_1"
"37",-0.00883718632278818,-0.00219002888171749,"MSATsensC_V_0"
"54",0.000960401678114953,-0.00571811795553723,"EDATscale_V_1"
"78",-0.000752819464462484,0.00652491643189201,"MSATsensU_V_1"
"39",-0.00363001370857186,0.00386547595413966,"MSATsensU_V_0"
"15",-0.00151331917514796,-0.0112322674434412,"EDATscale_V_0"
"9",-0.0073134745972856,0.00303000179070601,"muC_V_0"
"48",-0.00440076366301267,0.00649448549770892,"muC_V_1"
"51",-0.00457310690142387,0.00672209610114016,"percfail2018_V_1"
"12",-0.00746217726947285,0.00387077037245243,"percfail2018_V_0"
"40",-0.00569374191838756,0.00626886823236195,"API_V_1"
"1",-0.008691929516918,0.0035609043154694,"API_V_0"
"77",-0.0103819247403741,0.00488591658503545,"MSATsensA_V_1"
"38",-0.0136127954898057,0.0022081312850184,"MSATsensA_V_0"
"2",-0.144381465799717,-0.162224655359479,"bh_max_V_0"
"57",-0.0215308615940473,0,"covITNi_V_1"
"18",-0.0293069743889715,-0.00285474844696709,"covITNi_V_0"
"55",-0.0112531777723559,0.0153002177310518,"covEDATi_V_1"
"16",-0.0165559438812205,0.0145043991264728,"covEDATi_V_0"
"75",-0.0261345169649105,0.00653434602004477,"covMSATi_V_1"
"53",0.0121217421284008,-0.0206013029219815,"percfail2020_V_1"
"36",-0.0299388554555013,0.00391745456098169,"covMSATi_V_0"
"49",0.000235660048838793,-0.034936130271337,"muA_V_1"
"14",0.0107041022276256,-0.026389399813542,"percfail2020_V_0"
"41",-0.142230153212477,-0.104485817688056,"bh_max_V_1"
"10",-0.0025181040422555,-0.0403759278735332,"muA_V_0"
"7",-0.00285474844696709,-0.0734479988455334,"covIRS0_V_0"
"46",0,-0.0707749097912808,"covIRS0_V_1"
"6",-0.0156343002032183,-0.10200663637585,"effITN_V_0"
"45",0.00183330498949597,-0.100410541507666,"effITN_V_1"
"44",0.0337890881111272,-0.0817701312106763,"covITN0_V_1"
"5",0.0311385449520258,-0.0869470377966214,"covITN0_V_0"
"50",0.0115662931268437,-0.180334357560286,"muU_V_1"
"11",0.00906991164363879,-0.189019036422975,"muU_V_0"
"43",0.0327628933484239,-0.171266435686678,"covEDAT0_V_1"
"4",0.0301668958553376,-0.179113904201941,"covEDAT0_V_0"
